"prefix","variable","year_range","file_path","pest"
"SLF","Cold_Stress","81-24","rasters/MK_trends/SLF/SLF_MK_Cold_Stress_81-24.tif","Spotted lanternfly"
"SLF","Cold_Stress","81-90","rasters/MK_trends/SLF/SLF_MK_Cold_Stress_81-90.tif","Spotted lanternfly"
"SLF","Cold_Stress","91-20","rasters/MK_trends/SLF/SLF_MK_Cold_Stress_91-20.tif","Spotted lanternfly"
"SLF","Earliest_PEMe0","01-10","rasters/MK_trends/SLF/SLF_MK_Earliest_PEMe0_01-10.tif","Spotted lanternfly"
"SLF","Earliest_PEMe0","11-20","rasters/MK_trends/SLF/SLF_MK_Earliest_PEMe0_11-20.tif","Spotted lanternfly"
"SLF","Earliest_PEMe0","81-24","rasters/MK_trends/SLF/SLF_MK_Earliest_PEMe0_81-24.tif","Spotted lanternfly"
"SLF","Earliest_PEMe0","81-90","rasters/MK_trends/SLF/SLF_MK_Earliest_PEMe0_81-90.tif","Spotted lanternfly"
"SLF","Earliest_PEMe0","91-20","rasters/MK_trends/SLF/SLF_MK_Earliest_PEMe0_91-20.tif","Spotted lanternfly"
"SLF","Earliest_PEMp0","01-10","rasters/MK_trends/SLF/SLF_MK_Earliest_PEMp0_01-10.tif","Spotted lanternfly"
"SLF","Earliest_PEMp0","11-20","rasters/MK_trends/SLF/SLF_MK_Earliest_PEMp0_11-20.tif","Spotted lanternfly"
"SLF","Earliest_PEMp0","81-24","rasters/MK_trends/SLF/SLF_MK_Earliest_PEMp0_81-24.tif","Spotted lanternfly"
"SLF","Earliest_PEMp0","81-90","rasters/MK_trends/SLF/SLF_MK_Earliest_PEMp0_81-90.tif","Spotted lanternfly"
"SLF","Earliest_PEMp0","91-20","rasters/MK_trends/SLF/SLF_MK_Earliest_PEMp0_91-20.tif","Spotted lanternfly"
"SLF","Heat_Stress","01-10","rasters/MK_trends/SLF/SLF_MK_Heat_Stress_01-10.tif","Spotted lanternfly"
"SLF","Heat_Stress","11-20","rasters/MK_trends/SLF/SLF_MK_Heat_Stress_11-20.tif","Spotted lanternfly"
"SLF","Heat_Stress","81-24","rasters/MK_trends/SLF/SLF_MK_Heat_Stress_81-24.tif","Spotted lanternfly"
"SLF","Heat_Stress","81-90","rasters/MK_trends/SLF/SLF_MK_Heat_Stress_81-90.tif","Spotted lanternfly"
"SLF","Heat_Stress","91-20","rasters/MK_trends/SLF/SLF_MK_Heat_Stress_91-20.tif","Spotted lanternfly"
